timestamp,event_id,level,source,computer,user,opcode,task_category,process_id,process_name,detail,cpu_usage,mem_usage,network_io,integrity_level,is_signed,label
2026-03-27 21:14:41,4663,Critical,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Write,File System,6114,unknown.exe,Massive file system modification,88.0,2048,150.0,High,0,suspicious
2026-03-27 21:14:42,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,8964,svchost.exe,Successful Logon,2.372143528047145,133,0.1,Medium,1,normal
2026-03-27 21:14:43,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,223,powershell.exe,Successful Logon,0.7425790317188692,85,0.1,Medium,1,normal
2026-03-27 21:14:44,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,612,svchost.exe,Successful Logon,3.635179732704944,44,0.1,Medium,1,normal
2026-03-27 21:14:45,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,8568,powershell.exe,Successful Logon,1.7005687151384077,56,0.1,Medium,1,normal
2026-03-27 21:14:46,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Process Creation,2366,explorer.exe,Successful Logon,0.5717593509512946,104,0.1,Medium,1,normal
2026-03-27 21:14:47,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,File System,1898,services.exe,Successful Logon,3.79492209098459,62,0.1,Medium,1,normal
2026-03-27 21:14:48,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Object Access,5518,lsass.exe,Successful Logon,1.4824860717421244,79,0.1,Medium,1,normal
2026-03-27 21:14:49,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Object Access,4535,svchost.exe,Successful Logon,1.0365873603879843,44,0.1,Medium,1,normal
2026-03-27 21:14:50,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Object Access,7737,services.exe,Successful Logon,3.2147893435050654,106,0.1,Medium,1,normal
2026-03-27 21:14:51,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,4785,lsass.exe,Successful Logon,1.0392030893081046,77,0.1,Medium,1,normal
2026-03-27 21:14:52,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Process Creation,8940,svchost.exe,Successful Logon,1.3596030599221758,31,0.1,Medium,1,normal
2026-03-27 21:14:53,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,2052,svchost.exe,Successful Logon,2.551188614399783,109,0.1,Medium,1,normal
2026-03-27 21:14:54,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,File System,2789,lsass.exe,Successful Logon,0.8439954746057974,60,0.1,Medium,1,normal
2026-03-27 21:14:55,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,5940,svchost.exe,Successful Logon,3.0882390377590685,124,0.1,Medium,1,normal
2026-03-27 21:14:56,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Process Creation,3895,lsass.exe,Successful Logon,3.8054984104591947,148,0.1,Medium,1,normal
2026-03-27 21:14:57,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Process Creation,4739,svchost.exe,Successful Logon,1.4976324409057282,45,0.1,Medium,1,normal
2026-03-27 21:14:58,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Object Access,3941,powershell.exe,Successful Logon,3.659003084489567,133,0.1,Medium,1,normal
2026-03-27 21:14:59,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Process Creation,4324,services.exe,Successful Logon,3.1785767850169595,79,0.1,Medium,1,normal
2026-03-27 21:15:00,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,File System,1776,svchost.exe,Successful Logon,1.4803517622210811,86,0.1,Medium,1,normal
2026-03-27 21:15:01,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,1713,powershell.exe,Successful Logon,3.896458740370377,118,0.1,Medium,1,normal
2026-03-27 21:15:02,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,File System,272,svchost.exe,Successful Logon,0.7726647402364607,75,0.1,Medium,1,normal
2026-03-27 21:15:03,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Logon,1867,explorer.exe,Successful Logon,1.8314729386221527,50,0.1,Medium,1,normal
2026-03-27 21:15:04,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,6708,svchost.exe,Successful Logon,3.7544219165648602,143,0.1,Medium,1,normal
2026-03-27 21:15:05,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,1313,powershell.exe,Successful Logon,2.2717261837530134,140,0.1,Medium,1,normal
2026-03-27 21:15:06,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Logon,3525,powershell.exe,Successful Logon,1.489085389000078,92,0.1,Medium,1,normal
2026-03-27 21:15:07,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Process Creation,4178,services.exe,Successful Logon,0.6012321713828093,78,0.1,Medium,1,normal
2026-03-27 21:15:08,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,File System,4675,svchost.exe,Successful Logon,0.6472001980316664,116,0.1,Medium,1,normal
2026-03-27 21:15:09,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Object Access,1842,powershell.exe,Successful Logon,2.844253810594235,31,0.1,Medium,1,normal
2026-03-27 21:15:10,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,7943,lsass.exe,Successful Logon,2.198643187503232,147,0.1,Medium,1,normal
2026-03-27 21:15:11,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,File System,7581,explorer.exe,Successful Logon,3.7378346250447385,32,0.1,Medium,1,normal
2026-03-27 21:15:12,4624,Information,Security-Auditing,WIN-SOC-PROD-01,WIN-SOC-PROD\Admin,Logon,Process Creation,7488,lsass.exe,Successful Logon,2.53420726428958,60,0.1,Medium,1,normal
2026-03-27 21:15:13,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Object Access,8221,services.exe,Successful Logon,0.6182750959001102,74,0.1,Medium,1,normal
2026-03-27 21:15:14,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\LOCAL SERVICE,Logon,Process Creation,3246,svchost.exe,Successful Logon,1.169520601277979,33,0.1,Medium,1,normal
2026-03-27 21:15:15,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Process Creation,5067,explorer.exe,Successful Logon,1.822689969963627,140,0.1,Medium,1,normal
2026-03-27 21:15:16,4624,Information,Security-Auditing,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,File System,1969,svchost.exe,Successful Logon,2.118490371196374,87,0.1,Medium,1,normal
